,collectionDate,InBedsOccAnyPat__Numbeds_Est
0,Day for which estimate is made,"Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)"
772,22MAY2020,70.2
773,23MAY2020,69.6
774,24MAY2020,70.3
775,25MAY2020,71.8
776,26MAY2020,72.6
777,27MAY2020,71.4
778,28MAY2020,74.0
779,29MAY2020,72.3
780,30MAY2020,72.3
781,31MAY2020,71.3
782,01JUN2020,71.6
783,02JUN2020,73.7
784,03JUN2020,72.4
785,04JUN2020,73.6
786,05JUN2020,71.5
787,06JUN2020,68.7
788,07JUN2020,70.5
789,08JUN2020,68.8
790,09JUN2020,74.7
791,10JUN2020,79.3
792,11JUN2020,73.6
793,12JUN2020,75.1
794,13JUN2020,68.8
795,14JUN2020,70.9
796,15JUN2020,70.3
797,16JUN2020,75.6
798,17JUN2020,76.2
799,18JUN2020,73.1
800,19JUN2020,69.2
801,20JUN2020,69.3
802,21JUN2020,68.6
803,22JUN2020,70.1
804,23JUN2020,72.0
805,24JUN2020,74.8
806,25JUN2020,73.5
807,26JUN2020,74.3
808,27JUN2020,71.3
809,28JUN2020,69.5
810,29JUN2020,70.3
811,30JUN2020,71.5
812,01JUL2020,71.9
813,02JUL2020,70.0
814,03JUL2020,69.0
815,04JUL2020,68.6
816,05JUL2020,68.7
817,06JUL2020,67.7
818,07JUL2020,71.5
819,01APR2020,52.0
820,02APR2020,60.0
821,03APR2020,55.6
822,04APR2020,54.0
823,05APR2020,52.7
824,06APR2020,53.2
825,07APR2020,54.7
826,08APR2020,55.3
827,09APR2020,61.2
828,10APR2020,60.2
829,11APR2020,65.1
830,12APR2020,65.1
831,13APR2020,67.2
832,14APR2020,58.3
833,15APR2020,56.8
834,16APR2020,57.0
835,17APR2020,58.5
836,18APR2020,59.0
837,19APR2020,58.7
838,20APR2020,60.3
839,21APR2020,63.7
840,22APR2020,65.4
841,23APR2020,66.1
842,24APR2020,66.7
843,25APR2020,65.8
844,26APR2020,66.6
845,27APR2020,67.8
846,28APR2020,69.4
847,29APR2020,55.9
848,30APR2020,57.4
849,01MAY2020,66.1
850,02MAY2020,63.4
851,03MAY2020,65.2
852,04MAY2020,66.1
853,05MAY2020,68.7
854,06MAY2020,67.6
855,07MAY2020,67.1
856,08MAY2020,67.0
857,09MAY2020,65.7
858,10MAY2020,65.1
859,11MAY2020,65.1
860,12MAY2020,66.8
861,13MAY2020,66.8
862,14MAY2020,67.5
863,15MAY2020,66.7
864,16MAY2020,64.7
865,17MAY2020,63.1
866,18MAY2020,65.2
867,19MAY2020,66.1
868,20MAY2020,66.6
869,21MAY2020,67.3
870,22MAY2020,66.9
871,23MAY2020,64.4
872,24MAY2020,63.8
873,25MAY2020,64.7
874,26MAY2020,66.4
875,27MAY2020,68.1
876,28MAY2020,68.3
877,29MAY2020,66.0
878,30MAY2020,65.8
879,31MAY2020,65.5
880,01JUN2020,64.7
881,02JUN2020,65.0
882,03JUN2020,64.0
883,04JUN2020,64.6
884,05JUN2020,67.4
885,06JUN2020,64.9
886,07JUN2020,65.6
887,08JUN2020,66.7
888,09JUN2020,68.5
889,10JUN2020,69.8
890,11JUN2020,67.1
891,12JUN2020,67.8
892,13JUN2020,64.6
893,14JUN2020,62.8
894,15JUN2020,63.7
895,16JUN2020,67.4
896,17JUN2020,69.2
897,18JUN2020,69.7
898,19JUN2020,68.8
899,20JUN2020,64.5
900,21JUN2020,64.2
901,22JUN2020,64.9
902,23JUN2020,68.7
903,24JUN2020,70.9
904,25JUN2020,82.2
905,26JUN2020,79.9
906,27JUN2020,68.4
907,28JUN2020,65.2
908,29JUN2020,66.8
909,30JUN2020,69.2
910,01JUL2020,71.9
911,02JUL2020,71.6
912,03JUL2020,70.2
913,04JUL2020,67.3
914,05JUL2020,65.5
915,06JUL2020,68.4
916,07JUL2020,72.1
917,15APR2020,54.3
918,16APR2020,49.3
919,17APR2020,49.1
920,18APR2020,47.7
921,19APR2020,47.3
922,20APR2020,49.1
923,21APR2020,50.2
924,22APR2020,50.2
925,23APR2020,50.1
926,24APR2020,50.3
927,25APR2020,49.0
928,26APR2020,48.5
929,27APR2020,49.7
930,28APR2020,51.0
931,29APR2020,51.3
932,30APR2020,50.8
933,01MAY2020,50.9
934,02MAY2020,49.7
935,03MAY2020,49.5
936,04MAY2020,51.4
937,05MAY2020,53.5
938,06MAY2020,54.7
939,07MAY2020,55.2
940,08MAY2020,55.1
941,09MAY2020,53.4
942,10MAY2020,52.5
943,11MAY2020,54.5
944,12MAY2020,55.4
945,13MAY2020,58.0
946,14MAY2020,58.5
947,15MAY2020,58.7
948,16MAY2020,56.3
